raw_filename,run_id,source_commit,execution_index,repetition,policy,K,offered_concurrency,protection_bound,max_attempts_per_logical_request,logical_requests,total_attempts,total_retries,attempt_amplification_factor,acknowledged_accepted,retry_budget_exhausted,logical_completion_proportion,capacity_refused_attempts,admitted_attempts,accepted_first_attempt,accepted_after_refusal_retry,attempts_per_logical_request_p50,attempts_per_logical_request_p95,accepted_logical_completion_latency_p50_ms,accepted_logical_completion_latency_p95_ms,logical_completion_latency_p50_ms,first_attempt_wait_p50_ms,cell_elapsed_ns,cell_elapsed_ms,logical_completion_throughput_per_second,protected_writer_max_overlap,public_call_max_overlap,accepted_body_p50_ms,preliminary_idempotency_p50_ms,preliminary_read_cleanup_p50_ms,accepted_history_load_p50_ms,authoritative_idempotency_p50_ms,business_uow_p50_ms,append_admission_p50_ms,commit_finalization_p50_ms,validation_runtime_p50_us,peak_capacity_attempts_sliding_5ms,peak_capacity_attempts_sliding_10ms,refusal_to_next_dispatch_p50_us,refusal_to_next_dispatch_p95_us,retry_dispatch_spacing_p50_us,retry_lateness_p50_us,last_refusal_before_first_body_exit,first_body_exit_minus_last_refusal_ms,delivered_measurements,problems_count,incomplete,cleanup_completed
015-recorded-fixed_backoff.json,pr5-retry-amplification-20260910T235547117546Z-5084b12a177d,5084b12a177db4bdebd9dfad5597fe229677ed15,15,2,fixed_backoff,128,32,8,8,128,537,409,4.1953125,80,48,0.625,457,80,56,24,3.0,8.00,72.5799995,112.41669935,72.5799995,42.9373955,113404666,113.404666,705.4383458966318017285108886,8,9,10.967229,2.096479,0.8013125,0.8742915,1.717229,6.422292,2.0537705,1.122,6.959,48,75,5582.5,6410.90,5611.834,582.5,false,-88.527,80,0,false,true
016-recorded-exponential_backoff.json,pr5-retry-amplification-20260910T235547117546Z-5084b12a177d,5084b12a177db4bdebd9dfad5597fe229677ed15,16,2,exponential_backoff,128,32,8,8,128,517,389,4.0390625,80,48,0.625,437,80,64,16,1.5,8.00,70.853271,114.0366194,70.853271,47.7682295,116337500,116.3375,687.6544536370473836896959278,8,9,10.950729,1.9206245,0.8267915,0.8734375,1.5715005,6.4410625,1.832021,1.126271,7.333,54,95,8077.208,9829.9412,8108.708,641.209,false,-85.736334,80,0,false,true
017-recorded-exponential_backoff_with_jitter.json,pr5-retry-amplification-20260910T235547117546Z-5084b12a177d,5084b12a177db4bdebd9dfad5597fe229677ed15,17,2,exponential_backoff_with_jitter,128,32,8,8,128,464,336,3.625,80,48,0.625,384,80,80,0,1.0,8.00,71.4976245,129.3110285,71.4976245,53.2014165,129817000,129.817,616.2521087376845867644453346,8,9,10.6492505,2.242833,0.725104,0.970417,1.8105625,6.681167,2.199104,1.3393545,7.7295,43,71,9225.25,13292.333,9254.583,601.674,false,-110.862667,80,0,false,true
018-recorded-no_retry.json,pr5-retry-amplification-20260910T235547117546Z-5084b12a177d,5084b12a177db4bdebd9dfad5597fe229677ed15,18,2,no_retry,128,32,8,1,128,128,0,1,8,120,0.0625,120,8,8,0,1.0,1.00,20.061,20.45760395,4.665396,4.169208,20504708,20.504708,390.1543001734040787120694428,8,9,19.514354,9.6600835,0.6528755,1.5620415,1.428687,7.3131875,2.449542,1.937666,8.708,90,128,,,,,true,11.514541,8,0,false,true
019-recorded-immediate_retry.json,pr5-retry-amplification-20260910T235547117546Z-5084b12a177d,5084b12a177db4bdebd9dfad5597fe229677ed15,19,2,immediate_retry,128,32,8,8,128,968,840,7.5625,8,120,0.0625,960,8,8,0,8.0,8.00,85.6853125,86.07172225,45.8482495,37.946666,86108166,86.108166,92.90640332532456910068204217,8,9,85.08925,78.197125,0.516625,0.6011875,1.535437,5.7703545,2.2438955,1.044875,7.4995,76,149,55.354,85.7625,73.6455,55.354,true,7.175125,8,0,false,true
020-recorded-exponential_backoff.json,pr5-retry-amplification-20260910T235547117546Z-5084b12a177d,5084b12a177db4bdebd9dfad5597fe229677ed15,20,3,exponential_backoff,128,32,8,8,128,508,380,3.96875,80,48,0.625,428,80,67,13,1.0,8.00,66.9017505,109.8724923,66.9017505,46.403646,118889792,118.889792,672.8920847973222124907073603,8,9,10.203583,2.2164585,0.821208,1.0724795,1.685,5.709084,1.7560415,1.0815415,7.25,58,96,8103.437,9627.5777,8140.2705,653.9795,false,-89.705416,80,0,false,true
021-recorded-exponential_backoff_with_jitter.json,pr5-retry-amplification-20260910T235547117546Z-5084b12a177d,5084b12a177db4bdebd9dfad5597fe229677ed15,21,3,exponential_backoff_with_jitter,128,32,8,8,128,460,332,3.59375,93,35,0.7265625,367,93,80,13,1.0,8.00,69.182541,124.344758,64.7227915,47.9725205,132045583,132.045583,704.3022408405739705810530595,8,9,9.882875,1.943709,0.713834,0.814666,2.088542,6.102542,1.78475,0.982042,7.875,44,72,9056.375,12431.39825,9100.0,562.002,false,-106.409542,93,0,false,true
022-recorded-no_retry.json,pr5-retry-amplification-20260910T235547117546Z-5084b12a177d,5084b12a177db4bdebd9dfad5597fe229677ed15,22,3,no_retry,128,32,8,1,128,128,0,1,8,120,0.0625,120,8,8,0,1.0,1.00,17.972104,18.3609329,3.2523955,2.899687,18399666,18.399666,434.7905010884436706622826740,8,9,17.4174165,9.3884375,0.7550415,1.2138335,2.089958,6.1007085,1.744271,1.2920625,7.8535,116,128,,,,,true,11.172667,8,0,false,true
023-recorded-immediate_retry.json,pr5-retry-amplification-20260910T235547117546Z-5084b12a177d,5084b12a177db4bdebd9dfad5597fe229677ed15,23,3,immediate_retry,128,32,8,8,128,968,840,7.5625,8,120,0.0625,960,8,8,0,8.0,8.00,84.621229,85.1888,44.3921875,36.2945,85215750,85.21575,93.87935915602456118733919493,8,9,83.975146,77.893417,0.7684585,0.6716875,1.4511665,4.789458,1.649187,0.670354,10.312,71,138,54.042,82.63125,72.458,54.042,true,6.80125,8,0,false,true
024-recorded-fixed_backoff.json,pr5-retry-amplification-20260910T235547117546Z-5084b12a177d,5084b12a177db4bdebd9dfad5597fe229677ed15,24,3,fixed_backoff,128,32,8,8,128,549,421,4.2890625,80,48,0.625,469,80,56,24,4.0,8.00,72.4123125,116.13813365,72.4123125,42.1878125,123226750,123.22675,649.2096886430908873276297557,8,9,11.612604,2.4516455,0.8150625,0.8817085,1.835042,6.5814375,1.818396,1.312354,7.4585,45,74,5518.25,6429.50,5543.5,518.25,false,-101.559875,80,0,false,true
025-recorded-exponential_backoff_with_jitter.json,pr5-retry-amplification-20260910T235547117546Z-5084b12a177d,5084b12a177db4bdebd9dfad5597fe229677ed15,25,4,exponential_backoff_with_jitter,128,32,8,8,128,457,329,3.5703125,99,29,0.7734375,358,99,80,19,1.0,8.00,82.077458,125.8856955,68.76125,53.4658335,133503125,133.503125,741.5556751948690339645607547,8,9,9.186,1.91025,0.681916,0.849625,1.598125,5.608709,1.801791,1.061417,7.75,45,73,9170.542,12701.4502,9200.708,618.716,false,-106.762542,99,0,false,true
026-recorded-no_retry.json,pr5-retry-amplification-20260910T235547117546Z-5084b12a177d,5084b12a177db4bdebd9dfad5597fe229677ed15,26,4,no_retry,128,32,8,1,128,128,0,1,8,120,0.0625,120,8,8,0,1.0,1.00,18.8191045,19.1737921,3.2726045,2.9536045,19214334,19.214334,416.3558310165733561204879649,8,9,18.2586875,10.974146,0.599688,0.8213125,1.7409165,5.930875,2.162021,0.947354,8.625,113,128,,,,,true,11.815708,8,0,false,true
027-recorded-immediate_retry.json,pr5-retry-amplification-20260910T235547117546Z-5084b12a177d,5084b12a177db4bdebd9dfad5597fe229677ed15,27,4,immediate_retry,128,32,8,8,128,968,840,7.5625,8,120,0.0625,960,8,8,0,8.0,8.00,84.108625,84.4247376,42.2440625,33.1391455,84457667,84.457667,94.72201025870155755071946280,8,9,83.589375,75.2850625,0.7256875,1.3051045,1.9975625,6.203604,1.8796875,1.138125,6.771,73,142,52.1045,77.46315,69.792,52.1045,true,9.03275,8,0,false,true
028-recorded-fixed_backoff.json,pr5-retry-amplification-20260910T235547117546Z-5084b12a177d,5084b12a177db4bdebd9dfad5597fe229677ed15,28,4,fixed_backoff,128,32,8,8,128,552,424,4.3125,80,48,0.625,472,80,56,24,3.5,8.00,75.602125,116.64140655,75.602125,42.205646,118255250,118.25525,676.5027345508973174552504011,8,9,11.567083,2.3080415,0.866771,0.9115415,1.7526455,6.5102085,2.110771,1.066979,8.2085,46,75,5565.854,6536.95365,5595.8755,565.854,false,-93.886042,80,0,false,true
029-recorded-exponential_backoff.json,pr5-retry-amplification-20260910T235547117546Z-5084b12a177d,5084b12a177db4bdebd9dfad5597fe229677ed15,29,4,exponential_backoff,128,32,8,8,128,530,402,4.140625,80,48,0.625,450,80,62,18,3.5,8.00,72.295479,116.3082809,72.295479,46.5221455,123285458,123.285458,648.9005378071434832160010307,8,9,11.073,2.1082085,0.779312,0.9438545,1.955854,6.4686665,1.8991875,1.243479,7.833,57,90,8075.9165,10082.78895,8106.3125,642.5625,false,-93.033042,80,0,false,true
