experiment_phase,run_id,source_commit,configured_concurrency,repetition,K,acknowledged_accepted_count,acknowledged_accepted_throughput_per_second,writer_call_p50_ms,writer_call_p95_ms,scheduling_wait_p50_ms,business_uow_p50_ms,append_admission_p50_ms,commit_finalization_p50_ms,validation_runtime_p50_us,observed_max_writer_call_overlap,problems_count,incomplete,cleanup_completed
exploratory,pr1-exploratory-20260906T041421533734Z-0a68333f8630,0a68333f86307e96a42e736254b8e047a7284f5a,4,1,512,512,853.423772072833,4.629646000,5.847531100,296.572166500,2.797708000,0.766250000,0.463791500,6.104500000,4,0,false,true
exploratory,pr1-exploratory-20260906T041421533734Z-0a68333f8630,0a68333f86307e96a42e736254b8e047a7284f5a,4,2,512,512,859.278526790059,4.440521000,6.434597800,296.179604000,2.749895500,0.775937500,0.448896000,5.791000000,4,0,false,true
exploratory,pr1-exploratory-20260906T041421533734Z-0a68333f8630,0a68333f86307e96a42e736254b8e047a7284f5a,4,3,512,512,829.914753182712,4.626125000,6.376610200,311.078624500,2.855354500,0.803938000,0.469958500,6.687500000,4,0,false,true
exploratory,pr1-exploratory-20260906T041421533734Z-0a68333f8630,0a68333f86307e96a42e736254b8e047a7284f5a,4,4,512,512,830.166779435852,4.697042000,6.232377300,309.708271000,2.883228500,0.813208500,0.474062500,6.083000000,4,0,false,true
exploratory,pr1-exploratory-20260906T041421533734Z-0a68333f8630,0a68333f86307e96a42e736254b8e047a7284f5a,32,0,512,512,1079.040887257555,28.478750500,39.607133300,219.297041500,16.923354000,5.540228500,2.913271000,6.917000000,32,0,false,true
exploratory,pr1-exploratory-20260906T041421533734Z-0a68333f8630,0a68333f86307e96a42e736254b8e047a7284f5a,32,1,512,512,981.692803959554,28.654271000,83.812601750,221.514667000,17.103375000,5.386062500,2.806333500,6.750000000,32,0,false,true
exploratory,pr1-exploratory-20260906T041421533734Z-0a68333f8630,0a68333f86307e96a42e736254b8e047a7284f5a,32,2,512,512,1100.171176535841,28.638562500,35.405839100,221.098084000,17.117125000,5.463250500,2.760916500,6.792000000,32,0,false,true
exploratory,pr1-exploratory-20260906T041421533734Z-0a68333f8630,0a68333f86307e96a42e736254b8e047a7284f5a,32,3,512,512,1126.281881187710,27.898041500,34.862746500,221.377625500,16.440812500,5.356979500,2.726854000,6.834000000,32,0,false,true
exploratory,pr1-exploratory-20260906T041421533734Z-0a68333f8630,0a68333f86307e96a42e736254b8e047a7284f5a,32,4,512,512,1107.991780025389,28.436104500,35.018889100,221.843541500,16.846395500,5.370563000,2.829583500,6.895500000,32,0,false,true
refinement,pr1-refinement-20260906T042421699478Z-0a68333f8630,0a68333f86307e96a42e736254b8e047a7284f5a,12,0,512,512,1121.372617203375,10.511875000,13.132464250,227.445937000,6.361958000,2.018083500,1.146250000,6.917000000,12,0,false,true
refinement,pr1-refinement-20260906T042421699478Z-0a68333f8630,0a68333f86307e96a42e736254b8e047a7284f5a,12,1,512,512,1109.147296981500,10.488437500,13.659379350,219.946500000,6.395021000,2.022437500,1.206917000,7.062500000,12,0,false,true
refinement,pr1-refinement-20260906T042421699478Z-0a68333f8630,0a68333f86307e96a42e736254b8e047a7284f5a,12,2,512,512,1126.162145995933,10.439479500,13.135192000,231.085749500,6.325083500,2.040354500,1.205833000,6.833000000,12,0,false,true
refinement,pr1-refinement-20260906T042421699478Z-0a68333f8630,0a68333f86307e96a42e736254b8e047a7284f5a,12,3,512,512,1134.907722249068,10.281812500,13.205784900,230.117812500,6.314416500,2.010562500,1.178687500,6.667000000,12,0,false,true
refinement,pr1-refinement-20260906T042421699478Z-0a68333f8630,0a68333f86307e96a42e736254b8e047a7284f5a,12,4,512,512,1064.746241544548,11.025542000,13.653604350,248.613625000,6.674417000,2.155375000,1.274958500,7.187500000,12,0,false,true
refinement,pr1-refinement-20260906T042421699478Z-0a68333f8630,0a68333f86307e96a42e736254b8e047a7284f5a,8,0,512,512,1196.020544381272,6.283041500,8.554808300,201.818416500,3.853646000,1.169062000,0.692166500,6.541500000,8,0,false,true
refinement,pr1-refinement-20260906T042421699478Z-0a68333f8630,0a68333f86307e96a42e736254b8e047a7284f5a,8,1,512,512,1174.243362643288,6.641813000,8.763516150,212.121562500,4.032479500,1.174708000,0.755687500,6.875000000,8,0,false,true
refinement,pr1-refinement-20260906T042421699478Z-0a68333f8630,0a68333f86307e96a42e736254b8e047a7284f5a,8,2,512,512,927.444243528382,8.013500000,14.734310050,250.462395500,5.071312500,1.597937500,1.038375000,8.666000000,8,0,false,true
refinement,pr1-refinement-20260906T042421699478Z-0a68333f8630,0a68333f86307e96a42e736254b8e047a7284f5a,8,3,512,512,1120.961793976746,6.892291500,9.140651900,230.268187500,4.260229500,1.268291000,0.825229000,7.792000000,8,0,false,true
refinement,pr1-refinement-20260906T042421699478Z-0a68333f8630,0a68333f86307e96a42e736254b8e047a7284f5a,8,4,512,512,1008.364716190472,7.509479000,11.402743750,253.547916500,4.567062000,1.388792000,0.942895500,8.083000000,8,0,false,true
refinement,pr1-refinement-20260906T042421699478Z-0a68333f8630,0a68333f86307e96a42e736254b8e047a7284f5a,16,0,512,512,1027.183498457595,15.332458500,18.893952450,243.447104500,9.218021000,2.922104500,1.685750000,8.000000000,16,0,false,true
refinement,pr1-refinement-20260906T042421699478Z-0a68333f8630,0a68333f86307e96a42e736254b8e047a7284f5a,16,1,512,512,1018.386146368146,14.556500000,18.292391850,231.270270500,8.784875000,2.893291500,1.618417000,6.959000000,16,0,false,true
refinement,pr1-refinement-20260906T042421699478Z-0a68333f8630,0a68333f86307e96a42e736254b8e047a7284f5a,16,2,512,512,1054.812840385863,14.682416500,18.471657850,240.972354500,8.842188000,2.849750000,1.644062500,6.791500000,16,0,false,true
refinement,pr1-refinement-20260906T042421699478Z-0a68333f8630,0a68333f86307e96a42e736254b8e047a7284f5a,16,3,512,512,985.017836383620,14.951583000,23.386935600,276.278604500,9.047896000,2.824542000,1.693250000,7.583500000,16,0,false,true
refinement,pr1-refinement-20260906T042421699478Z-0a68333f8630,0a68333f86307e96a42e736254b8e047a7284f5a,16,4,512,512,1072.869940312620,14.599708500,18.689521200,239.443250000,8.896208000,2.824729500,1.554396000,6.979500000,16,0,false,true
refinement,pr1-refinement-20260906T042421699478Z-0a68333f8630,0a68333f86307e96a42e736254b8e047a7284f5a,10,0,512,512,1156.732772137199,8.408437500,10.770243900,219.104312500,5.135896500,1.577396500,0.932041500,6.666000000,10,0,false,true
refinement,pr1-refinement-20260906T042421699478Z-0a68333f8630,0a68333f86307e96a42e736254b8e047a7284f5a,10,1,512,512,1173.442946350223,8.308479500,10.735810900,223.358938000,5.006583000,1.587062500,0.899520500,6.542000000,10,0,false,true
refinement,pr1-refinement-20260906T042421699478Z-0a68333f8630,0a68333f86307e96a42e736254b8e047a7284f5a,10,2,512,512,1169.680154160189,8.395312500,11.009447700,220.422792000,5.090458000,1.584979000,0.941645500,6.541000000,10,0,false,true
refinement,pr1-refinement-20260906T042421699478Z-0a68333f8630,0a68333f86307e96a42e736254b8e047a7284f5a,10,3,512,512,1133.762055563752,8.540166500,11.083012500,225.401583500,5.252645500,1.634541500,0.962166500,6.916000000,10,0,false,true
refinement,pr1-refinement-20260906T042421699478Z-0a68333f8630,0a68333f86307e96a42e736254b8e047a7284f5a,10,4,512,512,1182.247581822830,8.355083500,10.124549700,215.678771000,5.048208000,1.593791500,0.942479000,6.729000000,10,0,false,true
refinement,pr1-refinement-20260906T042421699478Z-0a68333f8630,0a68333f86307e96a42e736254b8e047a7284f5a,14,0,512,512,1082.348123135634,12.729208500,15.746793600,235.858979500,7.731000000,2.452792000,1.481333000,6.875000000,14,0,false,true
refinement,pr1-refinement-20260906T042421699478Z-0a68333f8630,0a68333f86307e96a42e736254b8e047a7284f5a,14,1,512,512,1070.991446150295,12.829917000,16.299295650,229.546875000,7.855270500,2.428458500,1.500166500,7.375000000,14,0,false,true
refinement,pr1-refinement-20260906T042421699478Z-0a68333f8630,0a68333f86307e96a42e736254b8e047a7284f5a,14,2,512,512,1104.641002461710,12.516625000,15.384762500,231.379459000,7.541416500,2.365062500,1.417458500,6.959000000,14,0,false,true
refinement,pr1-refinement-20260906T042421699478Z-0a68333f8630,0a68333f86307e96a42e736254b8e047a7284f5a,14,3,512,512,1034.711070322208,13.363646000,16.723701900,245.519625000,8.100875000,2.586729500,1.508646000,7.250000000,14,0,false,true
refinement,pr1-refinement-20260906T042421699478Z-0a68333f8630,0a68333f86307e96a42e736254b8e047a7284f5a,14,4,512,512,1065.309320551042,12.822583500,15.819472950,238.843646500,7.714021000,2.493666500,1.440458000,7.125000000,14,0,false,true
